CallAccountShortName;ExecDate;Currency;Nominal;vextir;bp
error_inline_bp;2022-12-25;USD;-2000000;SOFR O/N+50;0
error_illegal_currency;2022-12-25;USSR;10000;BGCR O/N;0
error_strange_bp;2022-12-25;USD;123456789;EFFR O/N;-7000
error_wrong_currency;2022-12-25;ISK;0;TGCR O/N;100
error_illegal_ratenamebank5;2022-12-25;USD;0,12345;OBFR O/FF;200
error_illegal_currency;2022-12-25;FISK;-2000000;REIBOR O/N;0
error_wrong_currency;2022-12-25;ISK;10000;ESTR O/N;0
;2022-12-25;USD;123456789;SOFR O/N;-100
error_no_date;;USD;0;BGCR O/N;100
error_no_currency;2022-12-25;;0,12345;EFFR O/N;200
error_no_nominal;2022-12-26;USD;;SOFR O/N;0
error_no_ratename;2022-12-26;USD;122222221,1;;-100
error_no_bp;2022-12-26;USD;0;TGCR O/N;
error_early_sofr;2018-04-01;USD;0,12530175;SOFR O/N;200
error_early_bgcr;2018-04-01;USD;9900;BGCR O/N;0
error_early_tgcr;2019-04-01;USD;0;TGCR O/N;100
error_early_estr;2019-09-01;EUR;-2030000;ESTR O/N;0
bank1;2020-01-01;USD;-6832819,901;SOFR O/N;0
bank2;2020-01-01;USD;30350,53169;BGCR O/N;0
bank3;2020-01-01;USD;257569184,2;EFFR O/N;-100
bank4;2020-01-01;USD;0;TGCR O/N;100
bank5;2020-01-01;USD;0,343934218;OBFR O/N;200
bank6;2020-01-01;ISK;-8992938,629;REIBOR O/N;0
bank7;2020-01-01;EUR;26016,10714;ESTR O/N;0
bank8;2020-01-01;USD;373447340,3;SOFR O/N;-100
bank9;2020-01-01;USD;0;BGCR O/N;100
bank10;2020-01-01;USD;0,313024187;EFFR O/N;200
bank11;2020-01-01;USD;-3896430,568;TGCR O/N;0
bank12;2020-01-01;USD;19265,71563;OBFR O/N;0
bank13;2020-01-01;ISK;327463000,6;REIBOR O/N;-100
bank14;2020-01-01;EUR;0;ESTR O/N;100
bank15;2020-01-01;USD;0,378603422;SOFR O/N;200
bank16;2020-01-01;USD;-5172304,402;BGCR O/N;0
bank17;2020-01-01;USD;23651,45304;EFFR O/N;0
bank18;2020-01-01;USD;255088822,3;TGCR O/N;-100
bank19;2020-01-01;USD;0;OBFR O/N;100
bank20;2020-01-01;ISK;0,2438412;REIBOR O/N;200
bank1;2020-01-02;USD;-6832819,901;SOFR O/N;0
bank2;2020-01-02;USD;30805,78966;BGCR O/N;0
bank3;2020-01-02;USD;254993492,4;EFFR O/N;-100
bank4;2020-01-02;USD;0;TGCR O/N;100
bank5;2020-01-02;USD;0,343934218;OBFR O/N;200
